"","docname","from","to","pre","keyword","post","pattern"
"1","fff_de_00139.txt",40,40,"macht gerade eindrücklicher auf die","Klimakrise","aufmerksam als der Planet selbst","klimakrise"
"2","fff_de_00139.txt",644,644,"die gesellschaftliche Debatte über die","Klimakrise","dürfen nicht davon abhängen ,","klimakrise"
"3","fff_de_00139.txt",752,752,"Zeichen dafür , dass die","Klimakrise","in der Mitte der Gesellschaft","klimakrise"
"4","fff_de_00139.txt",801,801,"sich ganz zentral um die","Klimakrise","drehen wird - eine Tatsache","klimakrise"
"5","fff_de_00139.txt",984,984,"diejenigen über den Ausgang der","Klimakrise","entscheiden , die ein politisches","klimakrise"
"6","fff_de_00139.txt",1035,1035,"Ein Kommentar zu „ Die","Klimakrise","wartet nicht auf einen Impfstoff","klimakrise"
"7","fff_de_00311.txt",227,227,"dass niemand mehr an der","Klimakrise","vorbeikommen wird . Ob jung","klimakrise"
"8","fff_de_00052.txt",118,118,"in der Coronakrise eskaliert die","Klimakrise","bisher ungebremst . Wir können","klimakrise"
"9","fff_de_00226.txt",225,225,"allerdings ausreicht , um die","Klimakrise","abzuhalten , ist dann doch","klimakrise"
"10","fff_de_00137.txt",17,17,"für Klimagerechtigkeit - denn die","Klimakrise","wird im Moment auf dem","klimakrise"
"11","fff_de_00137.txt",331,331,"sich vor den Folgen der","Klimakrise","zu schützen . Dass rassistische","klimakrise"
"12","fff_de_00137.txt",351,351,"im Globalen Süden durch die","Klimakrise","stärker betroffen sind und zugleich","klimakrise"
"13","fff_de_00137.txt",390,390,"Belastung durch Umweltschäden und die","Klimakrise",". Unter anderem deshalb ,","klimakrise"
"14","fff_de_00137.txt",443,443,"den Hitzesommern , die die","Klimakrise","bringen wird , eine gefährliche","klimakrise"
"15","fff_de_00137.txt",618,618,"besonders unter den durch die","Klimakrise","heißer werdenden Sommern und Extremwetterereignissen","klimakrise"
"16","fff_de_00137.txt",833,833,"dass manche Menschen durch die","Klimakrise","stärker betroffen sind als andere","klimakrise"
"17","fff_de_00137.txt",871,871,"zu den gender-spezifischen Auswirkungen der","Klimakrise","auf nicht-binäre Menschen . Es","klimakrise"
"18","fff_de_00137.txt",912,912,"Klimafolgen leiden . Durch die","Klimakrise","wird die Anzahl von Naturkatastrophen","klimakrise"
"19","fff_de_00137.txt",1178,1178,"sich vor den Auswirkungen der","Klimakrise","zu schützen . Eine Studie","klimakrise"
"20","fff_de_00137.txt",1195,1195,"die geschlechtsspezifische Gewalt durch die","Klimakrise","zunehmen wird . Grund dafür","klimakrise"
